Phrase,Meaning,Example,Source
Wildlife,野生生物,,[Leap]見出し番号 1240
Beast,野獣,,[Leap]見出し番号 1241
Ape,類人猿,,[Leap]見出し番号 1242
Flock,群れ,,[Leap]見出し番号 1243
Vein,静脈,,[Leap]見出し番号 1244
Breed,繁殖する,,[Leap]見出し番号 1245
Reproduce,繁殖する,,[Leap]見出し番号 1246
Talkative,おしゃべりの,,[Leap]見出し番号 1247
Earnest,真面目な,,[Leap]見出し番号 1248
Diligent,勤勉な,,[Leap]見出し番号 1249
Principal,主要な,,[Leap]見出し番号 1250
Prime,最重要の,,[Leap]見出し番号 1251
Definite,明確な,,[Leap]見出し番号 1252
Evident,明らかな,,[Leap]見出し番号 1253
Prominent,目立った,,[Leap]見出し番号 1254
Marked,際立たった,,[Leap]見出し番号 1255
Grace,優美さ,,[Leap]見出し番号 1256
Charm,魅力,,[Leap]見出し番号 1257
Fancy,高級な,,[Leap]見出し番号 1258
Rational,理性的な,,[Leap]見出し番号 1259
Magnificent,壮大な,,[Leap]見出し番号 1259
Superior,より優れている,,[Leap]見出し番号 1261
Loyal,忠実な,,[Leap]見出し番号 1262
Horrible,とてもひどい,,[Leap]見出し番号 1263
Miserable,悲惨な,,[Leap]見出し番号 1264
Dull,退屈な,,[Leap]見出し番号 1265
Nasty,不快な,,[Leap]見出し番号 1266
Insane,正気でない,,[Leap]見出し番号 1267
Ridiculous,馬鹿げた,,[Leap]見出し番号 1268
Rotten,腐った,,[Leap]見出し番号 1269
Notorious,悪名高い,,[Leap]見出し番号 1270
Evil,悪い,,[Leap]見出し番号 1271
Mess,乱雑,,[Leap]見出し番号 1272
Vast,広大な,,[Leap]見出し番号 1273
Huge,巨大な,,[Leap]見出し番号 1274
Tiny,とても小さな,,[Leap]見出し番号 1275
Sphere,球体,,[Leap]見出し番号 1276
Strip,細長い一片,,[Leap]見出し番号 1277
Vessel,くだ,,[Leap]見出し番号 1278
Internal,内部の,,[Leap]見出し番号 1279
Mobile,流動的な,,[Leap]見出し番号 1280
Steep,険しい,,[Leap]見出し番号 1281
Intense,強烈な,,[Leap]見出し番号 1282
Inevitabale,避けられない,,[Leap]見出し番号 1283
Neutral,中立の,,[Leap]見出し番号 1284
Brief,手短な,,[Leap]見出し番号 1285
Bare,むき出しの,,[Leap]見出し番号 1286
Mutual,相互の,,[Leap]見出し番号 1287
Potential,潜在的な,,[Leap]見出し番号 1288
Tough,たくましい,,[Leap]見出し番号 1289
Conventional,従来の,,[Leap]見出し番号 1290
Supreme,最高の,,[Leap]見出し番号 1291
Resemble,に似ている,,[Leap]見出し番号 1292
Contrary,それどころか,,[Leap]見出し番号 1293
Category,範疇,,[Leap]見出し番号 1294
Scope,範囲,,[Leap]見出し番号 1295
Given,定められた,,[Leap]見出し番号 1296
Peculiar,固有の,,[Leap]見出し番号 1297
Sufficient,十分な,,[Leap]見出し番号 1298
Numerous,多くの,,[Leap]見出し番号 1299
Substantial,かなりの,,[Leap]見出し番号 1300
Unit,単位,,[Leap]見出し番号 1301
Diameter,直径,,[Leap]見出し番号 1302
Arithmetic,算術,,[Leap]見出し番号 1303
Quantity,量,,[Leap]見出し番号 1304
Deficiency,欠乏,,[Leap]見出し番号 1305
Maximum,最大限,,[Leap]見出し番号 1306
Bunch,束,,[Leap]見出し番号 1307
Lessen,を減らす,,[Leap]見出し番号 1308
Era,時代,,[Leap]見出し番号 1309
Session,期間,,[Leap]見出し番号 1310
Pause,休止,,[Leap]見出し番号 1311
Annual,年に一度の,,[Leap]見出し番号 1312
Eternal,永遠の,,[Leap]見出し番号 1313
Initial,最初の,,[Leap]見出し番号 1314
Prior,より前の,,[Leap]見出し番号 1315
Subsequent,続いて起こる,,[Leap]見出し番号 1316
Meanwhile,その間,,[Leap]見出し番号 1317
Routine,決まりきった仕事,,[Leap]見出し番号 1318
Souvenir,土産,,[Leap]見出し番号 1319
Brick,レンガ,,[Leap]見出し番号 1320
Pole,棒,,[Leap]見出し番号 1321
Mischief,いたずら,,[Leap]見出し番号 1322
Superstition,迷信,,[Leap]見出し番号 1323
Storage,貯蔵,,[Leap]見出し番号 1324
Shelter,避難,,[Leap]見出し番号 1325
Garment,衣類,,[Leap]見出し番号 1326
Canal,運河,,[Leap]見出し番号 1327
Cabinet,戸棚,,[Leap]見出し番号 1328
Incident,出来事,,[Leap]見出し番号 1329
Circumstance,状況,,[Leap]見出し番号 1330
Fetch,を取ってくる,,[Leap]見出し番号 1331
Distribute,を分配する,,[Leap]見出し番号 1332
Purchase,を購入する,,[Leap]見出し番号 1333
Statue,像,,[Leap]見出し番号 1334
Sculpture,彫刻,,[Leap]見出し番号 1335
Myth,神話,,[Leap]見出し番号 1336
Craft,工芸,,[Leap]見出し番号 1337
Journal,雑誌,,[Leap]見出し番号 1338
Encyclopedia,百科事典,,[Leap]見出し番号 1339
Heaven,天国,,[Leap]見出し番号 1340
Funeral,葬式,,[Leap]見出し番号 1341
Soul,魂,,[Leap]見出し番号 1342
Priest,神父,,[Leap]見出し番号 1343
Faith,信仰,,[Leap]見出し番号 1344
Sacred,神聖な,,[Leap]見出し番号 1345
Divine,神の,,[Leap]見出し番号 1346
Muslim,イスラム教徒,,[Leap]見出し番号 1347
Context,文脈,,[Leap]見出し番号 1348
Singular,単数の,,[Leap]見出し番号 1349
Command,言語を操る力,,[Leap]見出し番号 1350
Instance,例,,[Leap]見出し番号 1351
Dialogue,会話,,[Leap]見出し番号 1352
Usage,語法,,[Leap]見出し番号 1353
Vowel,母音,,[Leap]見出し番号 1354
Pronoun,代名詞,,[Leap]見出し番号 1355
Accent,訛り,,[Leap]見出し番号 1356
Outline,の要点を述べる,,[Leap]見出し番号 1357
Remote,辺鄙な,,[Leap]見出し番号 1358
Ambition,願望,,[Leap]見出し番号 1359
Temper,気性,,[Leap]見出し番号 1360
Affection,愛情,,[Leap]見出し番号 1361
Enthusiasm,情熱,,[Leap]見出し番号 1362
Rage,激怒,,[Leap]見出し番号 1363
Incredible,信じられない,,[Leap]見出し番号 1364
Chuckle,くすくす笑う,,[Leap]見出し番号 1365
Dare,思い切ってする,,[Leap]見出し番号 1366
Scream,悲鳴をあげる,,[Leap]見出し番号 1367
Soothe,をなだめる,,[Leap]見出し番号 1368
Tempt,を誘惑する,,[Leap]見出し番号 1369
Scold,を叱る,,[Leap]見出し番号 1370
Oppress,を圧迫する,,[Leap]見出し番号 1371
Threaten,を脅かす,,[Leap]見出し番号 1372
Mourn,を嘆く,,[Leap]見出し番号 1373
Sacrifice,を犠牲にする,,[Leap]見出し番号 1374
Curse,災いの元,,[Leap]見出し番号 1375
Stem,原因である,,[Leap]見出し番号 1376
Trigger,のきっかけになる,,[Leap]見出し番号 1377
Consequence,結果,,[Leap]見出し番号 1378
Process,過程,,[Leap]見出し番号 1379
Resort,訴える,,[Leap]見出し番号 1380
Formula,方法,,[Leap]見出し番号 1381
Procedure,手続き,,[Leap]見出し番号 1382
Extraordinary,並外れた,,[Leap]見出し番号 1383
Absolute,絶対的な,,[Leap]見出し番号 1384
Overwhelming,圧倒的な,,[Leap]見出し番号 1385
Altogether,完全に,,[Leap]見出し番号 1386
Entire,全ての,,[Leap]見出し番号 1387
Tremendous,凄まじい,,[Leap]見出し番号 1388
Sheer,とてつもないの,,[Leap]見出し番号 1389
Partial,部分的な,,[Leap]見出し番号 1390
Barely,かろうじて,,[Leap]見出し番号 1391
Approximately,およそ,,[Leap]見出し番号 1392
Frequently,頻繁に,,[Leap]見出し番号 1393
Apparently,見たところでは,,[Leap]見出し番号 1394
Merely,にすぎない,,[Leap]見出し番号 1395
Nevertheless,それにもかかわらず,,[Leap]見出し番号 1396
Somehow,何らかの方法で,,[Leap]見出し番号 1397
Thus,それゆえ,,[Leap]見出し番号 1398
Afterward,その後,,[Leap]見出し番号 1399
On behalf of,を代表して,,[Leap]見出し番号 1400
Assert,と断言する,,[Leap]見出し番号 1401
Defy,に逆らう,,[Leap]見出し番号 1402
Condemn,を非難する,,[Leap]見出し番号 1403
Cite,を引き合いに出す,,[Leap]見出し番号 1404
Illustrate,を説明する,,[Leap]見出し番号 1405
Refute,を論破する,,[Leap]見出し番号 1406
Sue,を訴える,,[Leap]見出し番号 1407
Articulate,はっきり述べる,,[Leap]見出し番号 1408
Version,解釈,,[Leap]見出し番号 1409
Advocate,提唱者,,[Leap]見出し番号 1410
Breakthrough,飛躍的進歩,,[Leap]見出し番号 1411
Evolution,進化,,[Leap]見出し番号 1412
Innovation,革新,,[Leap]見出し番号 1413
Probe,探査機,,[Leap]見出し番号 1414
Fluid,流体,,[Leap]見出し番号 1415
Particle,粒子,,[Leap]見出し番号 1416
Gravity,重力,,[Leap]見出し番号 1417
Hypothesis,仮説,,[Leap]見出し番号 1418
Specimen,標本,,[Leap]見出し番号 1419
Microbe,微生物,,[Leap]見出し番号 1420
Poison,毒,,[Leap]見出し番号 1421
Acid,酸性の,,[Leap]見出し番号 1422
Toxic,有害な,,[Leap]見出し番号 1423
Endeavor,努力,,[Leap]見出し番号 1424
Doom,の運命にある,,[Leap]見出し番号 1425
Manufacture,を製造する,,[Leap]見出し番号 1426
Yield,を産出する,,[Leap]見出し番号 1427
Duplicate,を複製する,,[Leap]見出し番号 1428
Assemble,を組み立てる,,[Leap]見出し番号 1429
Mold,を作る,,[Leap]見出し番号 1430
Coin,を作り出す,,[Leap]見出し番号 1431
Therapy,治療,,[Leap]見出し番号 1432
Injection,注射,,[Leap]見出し番号 1433
Dose,服用量,,[Leap]見出し番号 1434
Sanitation,衛生,,[Leap]見出し番号 1435
Germ,細菌,,[Leap]見出し番号 1436
Tumor,腫瘍,,[Leap]見出し番号 1437
Stroke,卒中,,[Leap]見出し番号 1438
Agony,苦痛,,[Leap]見出し番号 1439
Plague,疫病,,[Leap]見出し番号 1440
Fatigue,疲労,,[Leap]見出し番号 1441
Diagnosis,診断,,[Leap]見出し番号 1442
Mortality,死亡率,,[Leap]見出し番号 1443
Nursing,看護,,[Leap]見出し番号 1444
Chronic,慢性の,,[Leap]見出し番号 1445
Immune,免疫の,,[Leap]見出し番号 1446
Terminal,末期の,,[Leap]見出し番号 1447
Sound,健全な,,[Leap]見出し番号 1448
Respiratory,呼吸の,,[Leap]見出し番号 1449
Choke,息が詰まる,,[Leap]見出し番号 1450
Paralyze,を麻痺させる,,[Leap]見出し番号 1451
Prescribe,を処方する,,[Leap]見出し番号 1452
Digest,を消化する,,[Leap]見出し番号 1453
Weary,疲れている,,[Leap]見出し番号 1454
Nourish,に栄養を与える,,[Leap]見出し番号 1455
Appalling,ぞっとするような,,[Leap]見出し番号 1456
Flesh,肉,,[Leap]見出し番号 1457
Limb,手足,,[Leap]見出し番号 1458
Erect,直立した,,[Leap]見出し番号 1459
Spinal,脊椎の,,[Leap]見出し番号 1460
Suck,を吸う,,[Leap]見出し番号 1461
Shrug,すくめる,,[Leap]見出し番号 1462
Compensate,に保障する,,[Leap]見出し番号 1463
Abuse,虐待,,[Leap]見出し番号 1464
Bias,偏見,,[Leap]見出し番号 1465
Prestige,名声,,[Leap]見出し番号 1466
Privilege,特権,,[Leap]見出し番号 1467
Feat,偉業,,[Leap]見出し番号 1468
Dignity,威厳,,[Leap]見出し番号 1469
Virtue,美徳,,[Leap]見出し番号 1470
Aristocracy,貴族,,[Leap]見出し番号 1471
Rebel,反逆者,,[Leap]見出し番号 1472
Scheme,計画,,[Leap]見出し番号 1473
Convention,会議,,[Leap]見出し番号 1474
Conference,会議,,[Leap]見出し番号 1475
Consent,合意,,[Leap]見出し番号 1476
Initiative,進行層,,[Leap]見出し番号 1477
Province,州,,[Leap]見出し番号 1478
Colony,植民地,,[Leap]見出し番号 1479
Frontier,辺境,,[Leap]見出し番号 1480
Treaty,条約,,[Leap]見出し番号 1481
Tribe,部族,,[Leap]見出し番号 1482
Pension,年金,,[Leap]見出し番号 1483
Stake,利害関係,,[Leap]見出し番号 1484
Coverage,報道,,[Leap]見出し番号 1485
Obligation,責任,,[Leap]見出し番号 1486
Hygiene,衛生,,[Leap]見出し番号 1487
Supervisor,監督者,,[Leap]見出し番号 1488
Norm,普通のこと,,[Leap]見出し番号 1489
Patent,特許,,[Leap]見出し番号 1490
Primitive,原始的な,,[Leap]見出し番号 1491
Ethnic,民族の,,[Leap]見出し番号 1492
Anonymous,匿名の,,[Leap]見出し番号 1493
Metropolitan,大都市の,,[Leap]見出し番号 1494
Entitled,権利がある,,[Leap]見出し番号 1495
Demographic,人口統計上の,,[Leap]見出し番号 1496
Donate,を寄付する,,[Leap]見出し番号 1497
Flourish,栄える,,[Leap]見出し番号 1498
Conform,合わせる,,[Leap]見出し番号 1499
Comply,従う,,[Leap]見出し番号 1500
Legislation,法律,,[Leap]見出し番号 1501
Testimony,証言,,[Leap]見出し番号 1502
Jury,陪審,,[Leap]見出し番号 1503
Legitimate,正当な,,[Leap]見出し番号 1504
Enforce,を施行する,,[Leap]見出し番号 1505
Regime,政権,,[Leap]見出し番号 1506
Bureaucracy,官僚制度,,[Leap]見出し番号 1507
Corruption,腐敗,,[Leap]見出し番号 1508
Tyranny,圧制,,[Leap]見出し番号 1509
Sanction,制裁,,[Leap]見出し番号 1510
Candidate,候補,,[Leap]見出し番号 1511
Senator,上院議員,,[Leap]見出し番号 1512
Ambassador,大使,,[Leap]見出し番号 1513
Diplomat,外交官,,[Leap]見出し番号 1514
Refugee,難民,,[Leap]見出し番号 1515
Ally,同盟国,,[Leap]見出し番号 1516
Reign,統治,,[Leap]見出し番号 1517
Federal,連邦の,,[Leap]見出し番号 1518
Communist,共産主義の,,[Leap]見出し番号 1519
Municipal,市の,,[Leap]見出し番号 1520
Estate,財産,,[Leap]見出し番号 1521
Asset,財産,,[Leap]見出し番号 1522
Revenue,歳入,,[Leap]見出し番号 1523
Deficit,赤字,,[Leap]見出し番号 1524
Commerce,商業,,[Leap]見出し番号 1525
Output,生産高,,[Leap]見出し番号 1526
Subsidy,補助金,,[Leap]見出し番号 1527
Transaction,取引,,[Leap]見出し番号 1528
Bankrupt,倒産した,,[Leap]見出し番号 1529
Monetary,貨幣の,,[Leap]見出し番号 1530
Corporation,企業,,[Leap]見出し番号 1531
Enterprise,企業,,[Leap]見出し番号 1532
Venture,事業,,[Leap]見出し番号 1533
Headquarters,本社,,[Leap]見出し番号 1534
Personnel,全職員,,[Leap]見出し番号 1535
Entrepreneur,企業家,,[Leap]見出し番号 1536
Predecessor,前任者,,[Leap]見出し番号 1537
Toil,骨折って働く,,[Leap]見出し番号 1538
Undertake,を引き受ける,,[Leap]見出し番号 1539
Merge,合併する,,[Leap]見出し番号 1540
Comprise,からなる,,[Leap]見出し番号 1541
Component,構成要素,,[Leap]見出し番号 1542
Framework,枠組み,,[Leap]見出し番号 1543
Prototype,原型,,[Leap]見出し番号 1544
Dimension,側面,,[Leap]見出し番号 1545
Margin,余白,,[Leap]見出し番号 1546
Excel,優れている,,[Leap]見出し番号 1547
Contradict,と矛盾する,,[Leap]見出し番号 1548
Consensus,合意,,[Leap]見出し番号 1549
Converse,正反対,,[Leap]見出し番号 1550
Inequality,不平等,,[Leap]見出し番号 1551
Equivalent,等しい,,[Leap]見出し番号 1552
Compatible,適合する,,[Leap]見出し番号 1553
Identical,同一の,,[Leap]見出し番号 1554
Correspond,一致する,,[Leap]見出し番号 1555
Random,無作為の,,[Leap]見出し番号 1556
Warrior,戦士,,[Leap]見出し番号 1557
Assault,襲撃,,[Leap]見出し番号 1558
Troop,軍隊,,[Leap]見出し番号 1559
Shield,盾,,[Leap]見出し番号 1560
Torture,拷問,,[Leap]見出し番号 1561
Dispute,論争,,[Leap]見出し番号 1562
Combat,戦闘,,[Leap]見出し番号 1563
Tactics,戦術,,[Leap]見出し番号 1564
Quarrel,口論する,,[Leap]見出し番号 1565
Contend,戦う,,[Leap]見出し番号 1566
Slaughter,を虐殺する,,[Leap]見出し番号 1567
Suppress,を鎮圧する,,[Leap]見出し番号 1568
Surrender,降伏する,,[Leap]見出し番号 1569
Hostile,敵意のある,,[Leap]見出し番号 1570
Wreck,残骸,,[Leap]見出し番号 1571
Toll,犠牲者,,[Leap]見出し番号 1572
Disrupt,をかき乱す,,[Leap]見出し番号 1573
Interfere,邪魔する,,[Leap]見出し番号 1574
Confront,に立ちふさがる,,[Leap]見出し番号 1575
Explode,爆発する,,[Leap]見出し番号 1576
Collide,衝突する,,[Leap]見出し番号 1577
Nephew,甥,,[Leap]見出し番号 1578
Infant,幼児,,[Leap]見出し番号 1579
Spouse,配偶者,,[Leap]見出し番号 1580
Heir,相続人,,[Leap]見出し番号 1581
Folk,人々,,[Leap]見出し番号 1582
Peer,同等の人,,[Leap]見出し番号 1583
Recipient,受け取る人,,[Leap]見出し番号 1584
Navigate,進路を決める,,[Leap]見出し番号 1585
Flee,逃亡する,,[Leap]見出し番号 1586
Retreat,退く,,[Leap]見出し番号 1587
Crawl,這って進む,,[Leap]見出し番号 1588
Hover,空中に留まる,,[Leap]見出し番号 1589
Drift,漂う,,[Leap]見出し番号 1590
Alter,を変える,,[Leap]見出し番号 1591
Convert,を転換する,,[Leap]見出し番号 1592
Overtake,を追い越す,,[Leap]見出し番号 1593
Dispatch,を派遣する,,[Leap]見出し番号 1594
Shrink,縮む,,[Leap]見出し番号 1595
Wither,凋れる,,[Leap]見出し番号 1596
Descend,降下する,,[Leap]見出し番号 1597
Accelerate,を加速する,,[Leap]見出し番号 1598
Fluctuate,変動する,,[Leap]見出し番号 1599
Distort,を歪める,,[Leap]見出し番号 1600
Crack,割れる,,[Leap]見出し番号 1601
Transition,移り変わり,,[Leap]見出し番号 1602
Game changer,革命的なこと,,[Leap]見出し番号 1603
Reinforce,を補強する,,[Leap]見出し番号 1604
Foster,を育成する,,[Leap]見出し番号 1605
Breakdown,崩壊,,[Leap]見出し番号 1606
Collapse,崩壊する,,[Leap]見出し番号 1607
Render,にする,,[Leap]見出し番号 1608
Impair,を低下させる,,[Leap]見出し番号 1609
Undermine,を弱める,,[Leap]見出し番号 1610
Cope,対処する,,[Leap]見出し番号 1611
Tackle,に取り組む,,[Leap]見出し番号 1612
Demolish,を取り壊す,,[Leap]見出し番号 1613
Confine,を閉じ込める,,[Leap]見出し番号 1614
Designate,を指定する,,[Leap]見出し番号 1615
Regulate,を規制する,,[Leap]見出し番号 1616
Refrain,控える,,[Leap]見出し番号 1617
Prohibit,を禁じる,,[Leap]見出し番号 1618
Halt,を止める,,[Leap]見出し番号 1619
Constraint,制約,,[Leap]見出し番号 1620
Stimulate,を刺激する,,[Leap]見出し番号 1621
Animate,を活気づける,,[Leap]見出し番号 1622
Spur,を駆り立てる,,[Leap]見出し番号 1623
Urge,をせきたてる,,[Leap]見出し番号 1624
Compel,に強制する,,[Leap]見出し番号 1625
Blur,をぼやかす,,[Leap]見出し番号 1626
Divert,の方向を変える,,[Leap]見出し番号 1627
Reverse,を逆転する,,[Leap]見出し番号 1628
Overshadow,の影を薄くさせる,,[Leap]見出し番号 1629
Worsen,を悪化させる,,[Leap]見出し番号 1630
Jeopardize,を危険にさらす,,[Leap]見出し番号 1631
Supplement,を補う,,[Leap]見出し番号 1632
Pose,をもたらす,,[Leap]見出し番号 1633
Induce,を引き起こす,,[Leap]見出し番号 1634
Betray,を裏切る,,[Leap]見出し番号 1635
Bully,をいじめる,,[Leap]見出し番号 1636
Disregard,を無視する,,[Leap]見出し番号 1637
Squeeze,を絞る,,[Leap]見出し番号 1638
Rub,をこする,,[Leap]見出し番号 1639
Smash,を粉砕する,,[Leap]見出し番号 1640
Insert,を差し込む,,[Leap]見出し番号 1641
Detach,を切り離す,,[Leap]見出し番号 1642
Withdraw,を引っ込める,,[Leap]見出し番号 1643
Compile,をまとめる,,[Leap]見出し番号 1644
Browse,拾い読みする,,[Leap]見出し番号 1645
Manipulate,を操作する,,[Leap]見出し番号 1646
Implement,を実行する,,[Leap]見出し番号 1647
Execute,を遂行する,,[Leap]見出し番号 1648
Host,を主催する,,[Leap]見出し番号 1649
Mount,を据え付ける,,[Leap]見出し番号 1650
Discharge,を排出する,,[Leap]見出し番号 1651
Drain,の水を抜く,,[Leap]見出し番号 1652
Soak,を浸す,,[Leap]見出し番号 1653
Dip,をつける,,[Leap]見出し番号 1654
Suspend,を吊るす,,[Leap]見出し番号 1655
Extract,を取り出す,,[Leap]見出し番号 1656
Slap,平手打ちする,,[Leap]見出し番号 1657
Embrace,を抱擁する,,[Leap]見出し番号 1658
Embark,着手する,,[Leap]見出し番号 1659
Intervene,介入する,,[Leap]見出し番号 1660
Penetrate,に入り込む,,[Leap]見出し番号 1661
Intrude,立ち入る,,[Leap]見出し番号 1662
Utilize,を利用する,,[Leap]見出し番号 1663
Embed,を埋め込む,,[Leap]見出し番号 1664
Allocate,を割り当てる,,[Leap]見出し番号 1665
Coordinate,をうまく調整する,,[Leap]見出し番号 1666
Blink,瞬きする,,[Leap]見出し番号 1667
Spin,ぐるぐる回る,,[Leap]見出し番号 1668
Rotate,回転する,,[Leap]見出し番号 1669
Scramble,急いで動く,,[Leap]見出し番号 1670
Vanish,消える,,[Leap]見出し番号 1671
Snap,ポキッと折れる,,[Leap]見出し番号 1672
Rattle,ガタガタ鳴る,,[Leap]見出し番号 1673
Cease,しなくなる,,[Leap]見出し番号 1674
Haste,急ぐこと,,[Leap]見出し番号 1675
Conceal,を隠す,,[Leap]見出し番号 1676
Disguise,を隠す,,[Leap]見出し番号 1677
Deceive,をだます,,[Leap]見出し番号 1678
Neglect,をおこたる,,[Leap]見出し番号 1679
Evacuate,を避難させる,,[Leap]見出し番号 1680
Coincide,同時に起きる,,[Leap]見出し番号 1681
Prevail,普及している,,[Leap]見出し番号 1682
Sustain,を維持する,,[Leap]見出し番号 1683
Linger,残る,,[Leap]見出し番号 1684
Revive,生き返る,,[Leap]見出し番号 1685
Resume,を再開する,,[Leap]見出し番号 1686
Outbreak,発生,,[Leap]見出し番号 1687
Inspect,を検査する,,[Leap]見出し番号 1688
Expedition,探検,,[Leap]見出し番号 1689
Enroll,入学する,,[Leap]見出し番号 1690
Discipline,を躾ける,,[Leap]見出し番号 1691
Tuition,授業料,,[Leap]見出し番号 1692
Ethic,倫理,,[Leap]見出し番号 1693
Psychology,心理学,,[Leap]見出し番号 1694
Astronomy,天文学,,[Leap]見出し番号 1695
Archaeologist,考古学者,,[Leap]見出し番号 1696
Thesis,論文,,[Leap]見出し番号 1697
Dormitory,寮,,[Leap]見出し番号 1698
Grasp,を理解する,,[Leap]見出し番号 1699
Anticipate,を予想する,,[Leap]見出し番号 1700
Foresee,を予知する,,[Leap]見出し番号 1701
Infer,を推測する,,[Leap]見出し番号 1702
Deduce,を推定する,,[Leap]見出し番号 1703
Deem,だと思う,,[Leap]見出し番号 1704
Ponder,を熟考する,,[Leap]見出し番号 1705
Assure,に保証する,,[Leap]見出し番号 1706
Assess,を評価する,,[Leap]見出し番号 1707
Concede,を認める,,[Leap]見出し番号 1708
Compromise,妥協する,,[Leap]見出し番号 1709
Comprehend,を理解している,,[Leap]見出し番号 1710
Reconcile,を調和させる,,[Leap]見出し番号 1711
Instill,を教える,,[Leap]見出し番号 1712
Alert,油断のない,,[Leap]見出し番号 1713
Cognitive,認知の,,[Leap]見出し番号 1714
Intuition,直感,,[Leap]見出し番号 1715
Vow,誓い,,[Leap]見出し番号 1716
Nightmare,悪夢,,[Leap]見出し番号 1717
Stereotype,固定観念,,[Leap]見出し番号 1718
Illusion,幻想,,[Leap]見出し番号 1719
Criterion,基準,,[Leap]見出し番号 1720
Ideology,イデオロギー,,[Leap]見出し番号 1721
Tolerate,を大目に見る,,[Leap]見出し番号 1722
Overlook,を見落とす,,[Leap]見出し番号 1723
Conceive,を思い浮かべる,,[Leap]見出し番号 1724
Misunderstand,を誤解している,,[Leap]見出し番号 1725
Keen,鋭い,,[Leap]見出し番号 1726
Subjective,主観的な,,[Leap]見出し番号 1727
Compulsory,義務的な,,[Leap]見出し番号 1728
Relieve,を取り除く,,[Leap]見出し番号 1729
Trim,を刈り込む,,[Leap]見出し番号 1730
Disposal,処分,,[Leap]見出し番号 1731
Scent,香り,,[Leap]見出し番号 1732
Grain,穀物,,[Leap]見出し番号 1733
Wheat,小麦,,[Leap]見出し番号 1734
Deforestation,森林伐採,,[Leap]見出し番号 1735
Drought,干魃,,[Leap]見出し番号 1736
Irrigation,灌漑,,[Leap]見出し番号 1737
Spectacle,光景,,[Leap]見出し番号 1738
Altitude,標高,,[Leap]見出し番号 1739
Catastrophe,大災害,,[Leap]見出し番号 1740
Wilderness,荒野,,[Leap]見出し番号 1741
Decay,腐敗,,[Leap]見出し番号 1742
Erosion,侵食,,[Leap]見出し番号 1743
Flame,炎,,[Leap]見出し番号 1744
Galaxy,銀河,,[Leap]見出し番号 1745
Chill,寒気,,[Leap]見出し番号 1746
Thermal,熱の,,[Leap]見出し番号 1747
Fertile,肥沃な,,[Leap]見出し番号 1748
Fossil,化石化した,,[Leap]見出し番号 1749
Exploit,を利用する,,[Leap]見出し番号 1750
Contaminate,を汚染する,,[Leap]見出し番号 1751
Erupt,噴火する,,[Leap]見出し番号 1752
Roar,吠える,,[Leap]見出し番号 1753
Inhabit,に生息している,,[Leap]見出し番号 1754
Nurture,を育てる,,[Leap]見出し番号 1755
Owl,フクロウ,,[Leap]見出し番号 1756
Instinct,本能,,[Leap]見出し番号 1757
Prey,獲物,,[Leap]見出し番号 1758
Anatomy,解剖,,[Leap]見出し番号 1759
Mammal,哺乳動物,,[Leap]見出し番号 1760
Predator,捕食動物,,[Leap]見出し番号 1761
Hybrid,交配種,,[Leap]見出し番号 1762
Skull,頭蓋骨,,[Leap]見出し番号 1763
Timber,材木,,[Leap]見出し番号 1764
Textile,織物,,[Leap]見出し番号 1765
Fabric,布地,,[Leap]見出し番号 1766
Mill,製造工場,,[Leap]見出し番号 1767
Weave,を織る,,[Leap]見出し番号 1768
Competent,有能な,,[Leap]見出し番号 1769
Optimistic,楽観的な,,[Leap]見出し番号 1770
Patriotic,愛国的な,,[Leap]見出し番号 1771
Noble,高潔な,,[Leap]見出し番号 1772
Naughty,いたずらな,,[Leap]見出し番号 1773
Arrogant,傲慢な,,[Leap]見出し番号 1774
Vigorous,精力的な,,[Leap]見出し番号 1775
Humble,控えめな,,[Leap]見出し番号 1776
Eligible,資格のある,,[Leap]見出し番号 1777
Courtesy,礼儀正しさ,,[Leap]見出し番号 1778
Resilient,回復の早い,,[Leap]見出し番号 1779
Inclined,する傾向がある,,[Leap]見出し番号 1780
Haunt,につきまとう,,[Leap]見出し番号 1781
Intent,没頭した,,[Leap]見出し番号 1782
Indulge,ふける,,[Leap]見出し番号 1783
Flaw,傷,,[Leap]見出し番号 1784
Defect,欠陥,,[Leap]見出し番号 1785
Trait,特性,,[Leap]見出し番号 1786
Analogy,類似点,,[Leap]見出し番号 1787
Parallel,類似,,[Leap]見出し番号 1788
Indispensable,不可欠な,,[Leap]見出し番号 1789
Crucial,重大な,,[Leap]見出し番号 1790
Grave,重大な,,[Leap]見出し番号 1791
Primary,主な,,[Leap]見出し番号 1792
Vital,不可欠な,,[Leap]見出し番号 1793
Integral,不可欠な,,[Leap]見出し番号 1794
Profound,深い,,[Leap]見出し番号 1795
Grim,厳しい,,[Leap]見出し番号 1796
Fierce,激しい,,[Leap]見出し番号 1797
Harsh,厳しい,,[Leap]見出し番号 1798
Acute,深刻な,,[Leap]見出し番号 1799
Ambigious,曖昧な,,[Leap]見出し番号 1800
Misleading,誤解を招く,,[Leap]見出し番号 1801
Obscure,ぼやけた,,[Leap]見出し番号 1802
Mature,成熟した,,[Leap]見出し番号 1803
Neat,きちんとした,,[Leap]見出し番号 1804
Decent,まともな,,[Leap]見出し番号 1805
Straightforward,わかりやすい,,[Leap]見出し番号 1806
Sophisticated,高度な,,[Leap]見出し番号 1807
